index,filename,path,category,source_category,description,gt_crop,raw_pred,top1_prob,top2_cls,top2_prob,margin,raw_correct,threshold_triggered,thresh_pred,thresh_correct
1,001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Potato___Early_blight\001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Potato,PlantVillage Potato Early Blight,Potato,Potato,0.9761921763420105,Tomato,0.01964479498565197,0.9565473813563585,True,False,Potato,True
2,07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL 5399.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Potato___healthy\07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL 5399.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Potato,PlantVillage Potato Healthy,Potato,Other,0.7470540404319763,Potato,0.23687560856342316,0.5101784318685532,False,False,Other,False
3,045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Corn,PlantVillage Corn Gray Leaf Spot,Corn,Corn,0.997312605381012,Other,0.002624495653435588,0.9946881097275764,True,False,Corn,True
4,03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL 5519 copy 2.jpg,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Corn_(maize)___healthy\03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL 5519 copy 2.jpg,VALID_SUPPORTED_LEAF,PlantVillage_Corn,PlantVillage Corn Healthy,Corn,Corn,0.9970635771751404,Other,0.00259412731975317,0.9944694498553872,True,False,Corn,True
5,009dd1f5-281a-4e54-9f80-a068d0d8cfcd___YLCV_NREC 2162.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\009dd1f5-281a-4e54-9f80-a068d0d8cfcd___YLCV_NREC 2162.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Tomato,PlantVillage Tomato YLCV,Tomato,Tomato,0.9907185435295105,Other,0.006540562957525253,0.9841779805719852,True,False,Tomato,True
6,01c1da17-8d9f-4d69-8a1e-58d37453d3c3___RS_HL 9641.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Tomato___healthy\01c1da17-8d9f-4d69-8a1e-58d37453d3c3___RS_HL 9641.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Tomato,PlantVillage Tomato Healthy,Tomato,Tomato,0.9988842606544495,Other,0.0010510626016184688,0.997833198052831,True,False,Tomato,True
7,01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Apple___Apple_scab\01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Apple,PlantVillage Apple Scab,Apple,Apple,0.9949524402618408,Other,0.003612169995903969,0.9913402702659369,True,False,Apple,True
8,04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Apple___Cedar_apple_rust\04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Apple,PlantVillage Apple Cedar Rust,Apple,Apple,0.995612621307373,Other,0.0033880150876939297,0.9922246062196791,True,False,Apple,True
9,Early_Blight_10.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\rizwan123456789\potato-disease-leaf-datasetpld\versions\1\PLD_3_Classes_256\Testing\Early_Blight\Early_Blight_10.jpg,VALID_SUPPORTED_LEAF,Field_Potato_PLD,Field Potato Early Blight (PLD Pakistan),Potato,Potato,0.9825986623764038,Other,0.01625695824623108,0.9663417041301727,True,False,Potato,True
10,Healthy_10.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\rizwan123456789\potato-disease-leaf-datasetpld\versions\1\PLD_3_Classes_256\Testing\Healthy\Healthy_10.jpg,VALID_SUPPORTED_LEAF,Field_Potato_PLD,Field Potato Healthy (PLD Pakistan),Potato,Potato,0.9962494969367981,Other,0.0022853175178170204,0.9939641794189811,True,False,Potato,True
