path,filename,ground_truth_group,source_category,description,entropy,pixel_std,stage1_passed,stage1_status,e11_top1_class,e11_top1_conf,e11_top1_margin,stage3_passed,stage3_status,existing_gate_accepted,e11_latency_ms,yolo_max_conf,yolo_detections_conf010,yolo_detections_conf025,yolo_detections_conf035,yolo_detections_conf050,yolo_accepted_conf025,yolo_accepted_conf035,yolo_accepted_conf050,yolo_latency_ms,yolo_boxes_json
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Potato___Early_blight\001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Potato,PlantVillage Potato Early Blight,7.394,50.278,True,PASSED,Potato Early Blight,0.9799,0.9664,True,PASSED,True,265.6,0.3345,5,4,0,0,True,False,False,290.63,"[{""conf"": 0.3345, ""xyxy"": [47.8, 159.8, 89.2, 186.7]}, {""conf"": 0.3174, ""xyxy"": [88.4, 198.3, 135.5, 227.8]}, {""conf"": 0.2904, ""xyxy"": [16.4, 60.4, 74.0, 129.8]}, {""conf"": 0.2612, ""xyxy"": [80.2, 97.8, 149.5, 176.5]}, {""conf"": 0.2022, ""xyxy"": [47.4, 146.3, 90.8, 186.4]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Potato___healthy\07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL 5399.JPG,07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL 5399.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Potato,PlantVillage Potato Healthy,7.407,47.402,True,PASSED,Potato Healthy,0.6296,0.4781,True,PASSED,True,14.01,0.4724,6,2,2,0,True,True,False,14.82,"[{""conf"": 0.4724, ""xyxy"": [104.2, 229.5, 145.2, 241.2]}, {""conf"": 0.4187, ""xyxy"": [110.2, 19.9, 182.8, 58.8]}, {""conf"": 0.2306, ""xyxy"": [86.8, 21.0, 182.1, 66.8]}, {""conf"": 0.1628, ""xyxy"": [127.8, 36.0, 221.7, 131.0]}, {""conf"": 0.1409, ""xyxy"": [128.9, 19.6, 182.5, 56.7]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313.JPG,045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Corn,PlantVillage Corn Gray Leaf Spot,7.511,46.796,True,PASSED,Corn Gray Leaf Spot,0.9545,0.9147,True,PASSED,True,13.38,0.0,0,0,0,0,False,False,False,13.53,[]
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Corn_(maize)___healthy\03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL 5519 copy 2.jpg,03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL 5519 copy 2.jpg,VALID_SUPPORTED_LEAF,PlantVillage_Corn,PlantVillage Corn Healthy,7.467,45.533,True,PASSED,Corn Healthy,0.9975,0.9956,True,PASSED,True,13.53,0.0,0,0,0,0,False,False,False,12.32,[]
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\009dd1f5-281a-4e54-9f80-a068d0d8cfcd___YLCV_NREC 2162.JPG,009dd1f5-281a-4e54-9f80-a068d0d8cfcd___YLCV_NREC 2162.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Tomato,PlantVillage Tomato YLCV,7.461,51.708,True,PASSED,Tomato Yellow Leaf Curl Virus,0.9925,0.9884,True,PASSED,True,13.31,0.6521,7,3,2,1,True,True,True,15.63,"[{""conf"": 0.6521, ""xyxy"": [134.7, 160.7, 193.7, 179.6]}, {""conf"": 0.456, ""xyxy"": [66.8, 148.5, 112.7, 194.8]}, {""conf"": 0.2868, ""xyxy"": [33.2, 46.8, 84.7, 156.8]}, {""conf"": 0.1946, ""xyxy"": [109.9, 191.1, 141.2, 218.9]}, {""conf"": 0.1925, ""xyxy"": [134.4, 149.0, 193.5, 179.4]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Tomato___healthy\01c1da17-8d9f-4d69-8a1e-58d37453d3c3___RS_HL 9641.JPG,01c1da17-8d9f-4d69-8a1e-58d37453d3c3___RS_HL 9641.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Tomato,PlantVillage Tomato Healthy,7.201,41.717,True,PASSED,Tomato Healthy,0.9567,0.9143,True,PASSED,True,12.6,0.5715,6,1,1,1,True,True,True,14.18,"[{""conf"": 0.5715, ""xyxy"": [134.3, 53.9, 175.4, 127.2]}, {""conf"": 0.182, ""xyxy"": [76.4, 31.7, 112.3, 90.0]}, {""conf"": 0.1761, ""xyxy"": [76.4, 92.5, 103.0, 130.5]}, {""conf"": 0.117, ""xyxy"": [111.9, 12.5, 145.4, 54.7]}, {""conf"": 0.1159, ""xyxy"": [157.4, 96.3, 199.5, 153.1]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Apple___Apple_scab\01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Apple,PlantVillage Apple Scab,6.638,26.619,True,PASSED,Apple Scab,0.959,0.9217,True,PASSED,True,13.03,0.1302,2,0,0,0,False,False,False,14.91,"[{""conf"": 0.1302, ""xyxy"": [37.0, 101.5, 83.5, 156.7]}, {""conf"": 0.1216, ""xyxy"": [55.2, 96.5, 77.5, 121.6]}]"
C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Apple___Cedar_apple_rust\04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394.JPG,04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Apple,PlantVillage Apple Cedar Rust,7.082,41.757,True,PASSED,Apple Cedar Rust,0.8819,0.7777,True,PASSED,True,13.41,0.492,5,2,2,0,True,True,False,13.32,"[{""conf"": 0.492, ""xyxy"": [121.4, 174.9, 192.9, 233.2]}, {""conf"": 0.4024, ""xyxy"": [60.4, 22.6, 109.6, 110.4]}, {""conf"": 0.2383, ""xyxy"": [56.4, 100.7, 133.0, 187.4]}, {""conf"": 0.2225, ""xyxy"": [97.8, 61.6, 143.6, 147.5]}, {""conf"": 0.1975, ""xyxy"": [60.1, 22.4, 109.7, 69.4]}]"
C:\Users\Aditya\.cache\kagglehub\datasets\rizwan123456789\potato-disease-leaf-datasetpld\versions\1\PLD_3_Classes_256\Testing\Early_Blight\Early_Blight_10.jpg,Early_Blight_10.jpg,VALID_SUPPORTED_LEAF,Field_Potato_PLD,Field Potato Early Blight (PLD Pakistan),6.558,54.414,True,PASSED,Potato Early Blight,0.9752,0.9573,True,PASSED,True,13.02,0.1646,1,0,0,0,False,False,False,14.99,"[{""conf"": 0.1646, ""xyxy"": [0.0, 184.2, 61.4, 256.0]}]"
C:\Users\Aditya\.cache\kagglehub\datasets\rizwan123456789\potato-disease-leaf-datasetpld\versions\1\PLD_3_Classes_256\Testing\Healthy\Healthy_10.jpg,Healthy_10.jpg,VALID_SUPPORTED_LEAF,Field_Potato_PLD,Field Potato Healthy (PLD Pakistan),7.392,64.669,True,PASSED,Potato Healthy,0.8654,0.7746,True,PASSED,True,12.88,0.1016,1,0,0,0,False,False,False,14.86,"[{""conf"": 0.1016, ""xyxy"": [127.0, 159.8, 142.3, 209.1]}]"
