index,filename,path,category,source_category,description,gt_crop,gate_passed,gate_reason,green_fraction,largest_component_fraction,component_extent,component_solidity,e12_raw_pred,e12_top1_prob,e12_top2_cls,e12_top2_prob,e12_margin,e12_thresh_triggered,e12_thresh_pred,pred_A,correct_A,pred_B,correct_B,pred_C,correct_C,yolo_max_conf,yolo_accepted_035
1,001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Potato___Early_blight\001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Potato,PlantVillage Potato Early Blight,Potato,True,ACCEPT_PLAUSIBLE_LEAF,0.4296,0.4289,0.48,0.811,Potato,0.9762,Tomato,0.0196,0.9565,False,Potato,Potato,True,Potato,True,Potato,True,0.3345,False
2,07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL 5399.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Potato___healthy\07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL 5399.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Potato,PlantVillage Potato Healthy,Potato,True,ACCEPT_PLAUSIBLE_LEAF,0.4153,0.4141,0.639,1.0,Other,0.7471,Potato,0.2369,0.5102,False,Other,Other,False,Other,False,Other,False,0.4724,True
3,045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Corn,PlantVillage Corn Gray Leaf Spot,Corn,True,ACCEPT_PLAUSIBLE_LEAF,0.5894,0.5768,0.717,0.849,Corn,0.9973,Other,0.0026,0.9947,False,Corn,Corn,True,Corn,True,Corn,True,0.0,False
4,03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL 5519 copy 2.jpg,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Corn_(maize)___healthy\03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL 5519 copy 2.jpg,VALID_SUPPORTED_LEAF,PlantVillage_Corn,PlantVillage Corn Healthy,Corn,True,ACCEPT_PLAUSIBLE_LEAF,0.9273,0.9078,0.908,0.955,Corn,0.9971,Other,0.0026,0.9945,False,Corn,Corn,True,Corn,True,Corn,True,0.0,False
5,009dd1f5-281a-4e54-9f80-a068d0d8cfcd___YLCV_NREC 2162.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Tomato___Tomato_Yellow_Leaf_Curl_Virus\009dd1f5-281a-4e54-9f80-a068d0d8cfcd___YLCV_NREC 2162.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Tomato,PlantVillage Tomato YLCV,Tomato,True,ACCEPT_PLAUSIBLE_LEAF,0.2771,0.2764,0.553,1.0,Tomato,0.9907,Other,0.0065,0.9842,False,Tomato,Tomato,True,Tomato,True,Tomato,True,0.6521,True
6,01c1da17-8d9f-4d69-8a1e-58d37453d3c3___RS_HL 9641.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Tomato___healthy\01c1da17-8d9f-4d69-8a1e-58d37453d3c3___RS_HL 9641.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Tomato,PlantVillage Tomato Healthy,Tomato,True,ACCEPT_PLAUSIBLE_LEAF,0.3105,0.3103,0.441,1.0,Tomato,0.9989,Other,0.0011,0.9978,False,Tomato,Tomato,True,Tomato,True,Tomato,True,0.5715,True
7,01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Apple___Apple_scab\01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Apple,PlantVillage Apple Scab,Apple,True,ACCEPT_PLAUSIBLE_LEAF,0.5508,0.5497,0.586,0.845,Apple,0.995,Other,0.0036,0.9913,False,Apple,Apple,True,Apple,True,Apple,True,0.1302,False
8,04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394.JPG,C:\VScode\AgriSmart-AI-main\data\plantvillage\val\Apple___Cedar_apple_rust\04da297e-5238-41b1-a8a0-0c87c6c2f21f___FREC_C.Rust 4394.JPG,VALID_SUPPORTED_LEAF,PlantVillage_Apple,PlantVillage Apple Cedar Rust,Apple,True,ACCEPT_PLAUSIBLE_LEAF,0.2894,0.2894,0.64,1.0,Apple,0.9956,Other,0.0034,0.9922,False,Apple,Apple,True,Apple,True,Apple,True,0.492,True
9,Early_Blight_10.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\rizwan123456789\potato-disease-leaf-datasetpld\versions\1\PLD_3_Classes_256\Testing\Early_Blight\Early_Blight_10.jpg,VALID_SUPPORTED_LEAF,Field_Potato_PLD,Field Potato Early Blight (PLD Pakistan),Potato,True,ACCEPT_PLAUSIBLE_LEAF,0.6479,0.6478,0.663,0.959,Potato,0.9826,Other,0.0163,0.9663,False,Potato,Potato,True,Potato,True,Potato,True,0.1646,False
10,Healthy_10.jpg,C:\Users\Aditya\.cache\kagglehub\datasets\rizwan123456789\potato-disease-leaf-datasetpld\versions\1\PLD_3_Classes_256\Testing\Healthy\Healthy_10.jpg,VALID_SUPPORTED_LEAF,Field_Potato_PLD,Field Potato Healthy (PLD Pakistan),Potato,True,ACCEPT_PLAUSIBLE_LEAF,0.5909,0.5881,0.619,0.858,Potato,0.9962,Other,0.0023,0.994,False,Potato,Potato,True,Potato,True,Potato,True,0.1016,False
