state,district,year,season,previous_season,soil_type,temperature,humidity,rainfall,previous_crop,recommended_crop,source
Andhra Pradesh,Anantapur,2012,Rabi,Kharif,Red,25.9,69.6,230.0,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Rabi,Kharif,Red,25.2,69.7,265.9,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Rabi,Kharif,Red,25.0,66.6,221.8,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Rabi,Kharif,Red,25.0,65.7,170.0,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Rabi,Kharif,Red,24.0,63.3,202.2,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Kharif,Rabi,Red,28.7,75.3,676.5,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Kharif,Rabi,Red,29.9,77.3,867.0,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Kharif,Rabi,Red,27.0,76.4,872.6,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Kharif,Rabi,Red,27.3,79.1,781.0,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2012,Kharif,Rabi,Red,28.1,76.2,1096.7,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Rabi,Kharif,Red,25.5,61.3,231.7,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Rabi,Kharif,Red,23.3,61.0,231.3,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Rabi,Kharif,Red,25.5,65.5,220.7,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Rabi,Kharif,Red,24.6,60.6,200.4,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Rabi,Kharif,Red,24.5,68.2,236.2,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Kharif,Rabi,Red,26.1,79.0,762.0,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Kharif,Rabi,Red,27.2,79.8,933.8,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Kharif,Rabi,Red,28.8,75.5,771.2,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Kharif,Rabi,Red,28.2,80.9,750.6,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2013,Kharif,Rabi,Red,27.7,74.7,663.6,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Rabi,Kharif,Red,26.3,68.0,260.3,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Rabi,Kharif,Red,25.8,66.1,303.9,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Rabi,Kharif,Red,26.3,69.7,149.9,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Rabi,Kharif,Red,27.0,65.3,235.9,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Rabi,Kharif,Red,26.4,59.0,238.8,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Kharif,Rabi,Red,29.7,82.4,819.9,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Kharif,Rabi,Red,28.5,76.5,1011.0,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Kharif,Rabi,Red,29.6,76.4,957.4,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Kharif,Rabi,Red,29.4,80.9,795.4,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2014,Kharif,Rabi,Red,29.0,76.8,693.8,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Rabi,Kharif,Red,25.7,64.3,183.5,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Rabi,Kharif,Red,25.3,64.0,205.0,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Rabi,Kharif,Red,25.5,66.2,298.9,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Rabi,Kharif,Red,25.8,65.8,230.4,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Rabi,Kharif,Red,24.1,64.9,235.1,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Kharif,Rabi,Red,31.1,77.4,876.7,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Kharif,Rabi,Red,28.6,74.5,982.6,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Kharif,Rabi,Red,29.4,80.4,724.4,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Kharif,Rabi,Red,30.1,73.8,912.6,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2015,Kharif,Rabi,Red,30.8,75.0,767.5,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Rabi,Kharif,Red,24.0,65.2,191.4,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Rabi,Kharif,Red,25.6,62.2,280.6,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Rabi,Kharif,Red,24.6,64.0,255.5,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Rabi,Kharif,Red,24.2,65.7,272.3,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Rabi,Kharif,Red,23.9,65.6,236.6,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Kharif,Rabi,Red,29.0,74.3,657.3,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Kharif,Rabi,Red,28.7,78.9,850.5,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Kharif,Rabi,Red,28.5,76.0,848.2,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Kharif,Rabi,Red,28.5,75.9,1049.1,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2016,Kharif,Rabi,Red,28.7,74.4,900.4,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Rabi,Kharif,Red,26.9,62.5,227.4,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Rabi,Kharif,Red,26.3,67.5,255.2,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Rabi,Kharif,Red,25.8,62.7,172.2,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Rabi,Kharif,Red,25.3,64.8,208.9,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Rabi,Kharif,Red,26.2,67.5,199.1,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Kharif,Rabi,Red,30.4,77.2,1007.1,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Kharif,Rabi,Red,29.6,75.4,600.4,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Kharif,Rabi,Red,29.5,77.3,791.9,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Kharif,Rabi,Red,29.4,77.8,624.4,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2017,Kharif,Rabi,Red,27.5,76.7,807.1,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Rabi,Kharif,Red,24.9,66.2,200.2,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Rabi,Kharif,Red,24.9,65.2,191.2,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Rabi,Kharif,Red,25.0,66.7,268.3,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Rabi,Kharif,Red,25.6,60.9,198.3,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Rabi,Kharif,Red,25.2,66.5,248.6,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Kharif,Rabi,Red,31.6,79.7,972.3,groundnut,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Kharif,Rabi,Red,28.7,80.0,791.5,chickpea,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Kharif,Rabi,Red,28.5,75.7,801.3,groundnut,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Kharif,Rabi,Red,27.3,78.2,1119.3,maize,cotton,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2018,Kharif,Rabi,Red,25.9,80.1,629.8,pulses,rice,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Rabi,Kharif,Red,26.2,61.8,189.5,groundnut,chickpea,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Rabi,Kharif,Red,26.7,62.8,219.1,maize,groundnut,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Rabi,Kharif,Red,26.2,63.0,280.5,cotton,maize,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Rabi,Kharif,Red,26.7,58.9,218.2,rice,pulses,DES_ICAR_IMD_MultiSource
Andhra Pradesh,Anantapur,2019,Rabi,Kharif,Red,25.6,67.6,187.0,pigeonpea,groundnut,DES_ICAR_IMD_MultiSource
